Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,Latitude,Longitude,Altitude,HDOP,UTM_easting,UTM_northing,UTC,Zone,Letter
1674860812.2856674,17,230652,0,GPS1_Frame,42.34018325805664,-71.086669921875,68.30000305175781,2.4000000953674316,328106.71875,4689656.0,230652.0,19.0,T
1674860817.284678,18,230657,0,GPS1_Frame,42.34016418457031,-71.086669921875,67.5,2.4000000953674316,328106.8125,4689654.0,230657.0,19.0,T
1674860822.2846105,19,230702,0,GPS1_Frame,42.34016799926758,-71.086669921875,67.5,2.4000000953674316,328106.8125,4689654.5,230702.0,19.0,T
1674860827.285121,20,230707,0,GPS1_Frame,42.34016799926758,-71.086669921875,67.5999984741211,2.4000000953674316,328106.8125,4689654.5,230707.0,19.0,T
1674860832.2865808,21,230712,0,GPS1_Frame,42.34016799926758,-71.086669921875,67.5999984741211,2.4000000953674316,328106.8125,4689654.5,230712.0,19.0,T
1674860837.3145413,22,230717,0,GPS1_Frame,42.34016799926758,-71.086669921875,67.69999694824219,2.4000000953674316,328106.8125,4689654.5,230717.0,19.0,T
1674860842.285385,23,230722,0,GPS1_Frame,42.34016799926758,-71.086669921875,67.69999694824219,2.4000000953674316,328106.8125,4689654.5,230722.0,19.0,T
1674860847.2852104,24,230727,0,GPS1_Frame,42.34016799926758,-71.086669921875,68.30000305175781,2.4000000953674316,328106.9375,4689654.5,230727.0,19.0,T
1674860852.2855012,25,230732,0,GPS1_Frame,42.34016799926758,-71.086669921875,68.4000015258789,2.4000000953674316,328106.8125,4689654.5,230732.0,19.0,T
1674860857.2852015,26,230737,0,GPS1_Frame,42.34016799926758,-71.086669921875,68.5999984741211,2.4000000953674316,328106.8125,4689654.5,230737.0,19.0,T
1674860862.2833936,27,230742,0,GPS1_Frame,42.34016799926758,-71.086669921875,68.69999694824219,4.300000190734863,328106.8125,4689654.5,230742.0,19.0,T
1674860867.2845025,28,230747,0,GPS1_Frame,42.34016799926758,-71.086669921875,68.80000305175781,2.4000000953674316,328106.8125,4689654.5,230747.0,19.0,T
1674860872.2851014,29,230752,0,GPS1_Frame,42.34016799926758,-71.086669921875,68.9000015258789,2.4000000953674316,328106.8125,4689654.5,230752.0,19.0,T
1674860877.2852805,30,230757,0,GPS1_Frame,42.34016799926758,-71.086669921875,68.9000015258789,2.4000000953674316,328106.8125,4689654.5,230757.0,19.0,T
1674860882.2844841,31,230802,0,GPS1_Frame,42.34016799926758,-71.086669921875,69.0,2.4000000953674316,328106.8125,4689654.5,230802.0,19.0,T
1674860887.3146527,32,230807,0,GPS1_Frame,42.34016799926758,-71.086669921875,69.0,2.4000000953674316,328106.8125,4689654.5,230807.0,19.0,T
1674860892.2872424,33,230812,0,GPS1_Frame,42.34016799926758,-71.086669921875,69.0999984741211,2.4000000953674316,328106.8125,4689654.5,230812.0,19.0,T
1674860897.2847342,34,230817,0,GPS1_Frame,42.34016799926758,-71.086669921875,69.0999984741211,2.4000000953674316,328106.8125,4689654.5,230817.0,19.0,T
1674860902.2839608,35,230822,0,GPS1_Frame,42.34016799926758,-71.086669921875,69.19999694824219,2.4000000953674316,328106.8125,4689654.5,230822.0,19.0,T
1674860907.284757,36,230827,0,GPS1_Frame,42.34016799926758,-71.086669921875,69.19999694824219,2.4000000953674316,328106.8125,4689654.5,230827.0,19.0,T
1674860912.284175,37,230832,0,GPS1_Frame,42.34016799926758,-71.086669921875,69.30000305175781,2.4000000953674316,328106.8125,4689654.5,230832.0,19.0,T
1674860917.284897,38,230837,0,GPS1_Frame,42.340171813964844,-71.086669921875,70.0999984741211,2.4000000953674316,328106.8125,4689655.0,230837.0,19.0,T
1674860922.2857006,39,230842,0,GPS1_Frame,42.340171813964844,-71.086669921875,70.19999694824219,2.4000000953674316,328106.8125,4689655.0,230842.0,19.0,T
1674860927.2856176,40,230847,0,GPS1_Frame,42.340171813964844,-71.086669921875,70.19999694824219,2.4000000953674316,328106.8125,4689655.0,230847.0,19.0,T
1674860932.285472,41,230852,0,GPS1_Frame,42.340171813964844,-71.086669921875,70.30000305175781,2.4000000953674316,328106.8125,4689655.0,230852.0,19.0,T
1674860937.3145216,42,230857,0,GPS1_Frame,42.340171813964844,-71.086669921875,70.4000015258789,2.4000000953674316,328106.8125,4689655.0,230857.0,19.0,T
1674860942.285567,43,230902,0,GPS1_Frame,42.340171813964844,-71.086669921875,70.5,2.4000000953674316,328106.8125,4689655.0,230902.0,19.0,T
1674860947.3155608,44,230907,0,GPS1_Frame,42.340179443359375,-71.086669921875,71.69999694824219,2.4000000953674316,328106.6875,4689656.0,230907.0,19.0,T
1674860952.2870336,45,230912,0,GPS1_Frame,42.340179443359375,-71.086669921875,71.80000305175781,2.4000000953674316,328106.6875,4689656.0,230912.0,19.0,T
1674860957.2853556,46,230917,0,GPS1_Frame,42.340179443359375,-71.086669921875,71.9000015258789,2.4000000953674316,328106.6875,4689656.0,230917.0,19.0,T
1674860962.2853687,47,230922,0,GPS1_Frame,42.340179443359375,-71.086669921875,71.9000015258789,2.4000000953674316,328106.6875,4689656.0,230922.0,19.0,T
